+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |         ['LINEAR', 'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU', |  ['LINEAR', 'RELU', 'AVGPOOL2D', 'CONV2D', 'MAXPOOL2D'] |   ['LINEAR', 'ADAPTIVEAVGPOOL2D', 'FLATTEN', 'PERMUTE', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |   'ROIALIGN', 'CONV1D', 'AVGPOOL2D', 'TANH', 'PERMUTE', |                                                         |     'GELU', 'RELU', 'AVGPOOL2D', 'CONV2D', 'MAXPOOL2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'LASTLEVELMAXPOOL', 'CONVTRANSPOSE2D', 'FLATTEN', |                                                         |                                                'RELU6'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 'CONV2D', 'MAXPOOL2D', 'GELU', 'RELU6'] |                                                         |                                                         |
|  peanutRCNN  | 100.000 |  100.000 | 100.000 | 100.000 |   99.998 |  99.998 |   0.438 |    1.000 |   1.000 |   0.400 |    1.000 |   1.000 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |         ['LINEAR', 'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU', |               ['LINEAR', 'ROIALIGN', 'RELU', 'FLATTEN', |               ['LINEAR', 'ROIALIGN', 'RELU', 'FLATTEN', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |   'ROIALIGN', 'CONV1D', 'AVGPOOL2D', 'TANH', 'PERMUTE', |        'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'CONV2D'] |        'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'CONV2D'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'LASTLEVELMAXPOOL', 'CONVTRANSPOSE2D', 'FLATTEN', |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                 'CONV2D', 'MAXPOOL2D', 'GELU', 'RELU6'] |                                                         |                                                         |
|   resnet50   | 100.000 |  100.000 | 100.000 |  99.994 |   97.036 |  99.994 |   0.312 |    1.000 |   0.500 |   0.200 |    1.000 |   0.357 |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |             {'row_PE': 128, 'col_PE': 128, 'n_SA': 128, |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                       'no_modules': 64} |                                       'no_modules': 64} |                                       'no_modules': 64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |         ['LINEAR', 'SILU', 'ADAPTIVEAVGPOOL2D', 'RELU', |       ['LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV2D', 'RELU', |   ['LINEAR', 'ADAPTIVEAVGPOOL2D', 'FLATTEN', 'PERMUTE', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |   'ROIALIGN', 'CONV1D', 'AVGPOOL2D', 'TANH', 'PERMUTE', |                                            'MAXPOOL2D'] |     'GELU', 'RELU', 'AVGPOOL2D', 'CONV2D', 'MAXPOOL2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |       'LASTLEVELMAXPOOL', 'CONVTRANSPOSE2D', 'FLATTEN', |                                                         |                                                'RELU6'] |
