+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         |  ['AVGPOOL2D', 'ROIALIGN', 'ADAPTIVEAVGPOOL2D', 'GELU', |    ['ADAPTIVEAVGPOOL2D', 'LINEAR', 'MAXPOOL2D', 'RELU', |   ['AVGPOOL2D', 'MAXPOOL2D', 'RELU', 'RELU6', 'CONV2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          'LINEAR', 'MAXPOOL2D', 'RELU', 'SILU', 'TANH', |                                               'CONV2D'] |       'ADAPTIVEAVGPOOL2D', 'PERMUTE', 'GELU', 'LINEAR', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |        'CONV1D', 'CONV2D', 'RELU6', 'LASTLEVELMAXPOOL', |                                                         |                                              'FLATTEN'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                'PERMUTE', 'FLATTEN', 'CONVTRANSPOSE2D'] |                                                         |                                                         |
|   resnet18   | 100.000 |  100.000 | 100.000 |  91.517 |   99.996 |  99.996 |   0.312 |    1.000 |   0.500 |   0.182 |    1.000 |   0.357 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     16} |                                                     16} |                                                     16} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |  ['AVGPOOL2D', 'ROIALIGN', 'ADAPTIVEAVGPOOL2D', 'GELU', |    ['ADAPTIVEAVGPOOL2D', 'LINEAR', 'MAXPOOL2D', 'RELU', |   ['AVGPOOL2D', 'MAXPOOL2D', 'RELU', 'RELU6', 'CONV2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          'LINEAR', 'MAXPOOL2D', 'RELU', 'SILU', 'TANH', |                                               'CONV2D'] |       'ADAPTIVEAVGPOOL2D', 'PERMUTE', 'GELU', 'LINEAR', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |        'CONV1D', 'CONV2D', 'RELU6', 'LASTLEVELMAXPOOL', |                                                         |                                              'FLATTEN'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                'PERMUTE', 'FLATTEN', 'CONVTRANSPOSE2D'] |                                                         |                                                         |
| densenet121  | 100.000 |  100.000 | 100.000 |  97.900 |  100.000 |  99.999 |   0.312 |    1.000 |   0.500 |   0.091 |    1.000 |   0.286 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     16} |                                                     16} |                                                     16} |
|              |         |          |         |         |          |         |         |          |         |         |          |         |  ['AVGPOOL2D', 'ROIALIGN', 'ADAPTIVEAVGPOOL2D', 'GELU', |  ['AVGPOOL2D', 'MAXPOOL2D', 'LINEAR', 'RELU', 'CONV2D'] |   ['AVGPOOL2D', 'MAXPOOL2D', 'RELU', 'RELU6', 'CONV2D', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |          'LINEAR', 'MAXPOOL2D', 'RELU', 'SILU', 'TANH', |                                                         |       'ADAPTIVEAVGPOOL2D', 'PERMUTE', 'GELU', 'LINEAR', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |        'CONV1D', 'CONV2D', 'RELU6', 'LASTLEVELMAXPOOL', |                                                         |                                              'FLATTEN'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                'PERMUTE', 'FLATTEN', 'CONVTRANSPOSE2D'] |                                                         |                                                         |
|  peanutRCNN  | 100.000 |  100.000 | 100.000 | 100.000 |   99.998 |  99.998 |   0.438 |    1.000 |   1.000 |   0.545 |    1.000 |   1.000 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 32, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     16} |                                                     16} |                                                     16} |
