+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 219  |    67    |   conv2d   |  (14, 14)  |   (7, 7)   |         576         |         576          |    (3, 3)   | (2, 2) |  (1, 1) |  576   |   1   |
| 221  |    68    |   relu6    |   (7, 7)   |   (7, 7)   |         576         |         576          |      -      |   -    |    -    |   1    |   1   |
| 223  |    69    |   conv2d   |   (7, 7)   |   (7, 7)   |         576         |         160          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 230  |    70    |   conv2d   |   (7, 7)   |   (7, 7)   |         160         |         960          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 232  |    71    |   relu6    |   (7, 7)   |   (7, 7)   |         960         |         960          |      -      |   -    |    -    |   1    |   1   |
| 235  |    72    |   conv2d   |   (7, 7)   |   (7, 7)   |         960         |         960          |    (3, 3)   | (1, 1) |  (1, 1) |  960   |   1   |
| 237  |    73    |   relu6    |   (7, 7)   |   (7, 7)   |         960         |         960          |      -      |   -    |    -    |   1    |   1   |
| 239  |    74    |   conv2d   |   (7, 7)   |   (7, 7)   |         960         |         160          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 246  |    75    |   conv2d   |   (7, 7)   |   (7, 7)   |         160         |         960          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 248  |    76    |   relu6    |   (7, 7)   |   (7, 7)   |         960         |         960          |      -      |   -    |    -    |   1    |   1   |
| 251  |    77    |   conv2d   |   (7, 7)   |   (7, 7)   |         960         |         960          |    (3, 3)   | (1, 1) |  (1, 1) |  960   |   1   |
| 253  |    78    |   relu6    |   (7, 7)   |   (7, 7)   |         960         |         960          |      -      |   -    |    -    |   1    |   1   |
| 255  |    79    |   conv2d   |   (7, 7)   |   (7, 7)   |         960         |         160          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 262  |    80    |   conv2d   |   (7, 7)   |   (7, 7)   |         160         |         960          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 264  |    81    |   relu6    |   (7, 7)   |   (7, 7)   |         960         |         960          |      -      |   -    |    -    |   1    |   1   |
| 267  |    82    |   conv2d   |   (7, 7)   |   (7, 7)   |         960         |         960          |    (3, 3)   | (1, 1) |  (1, 1) |  960   |   1   |
| 269  |    83    |   relu6    |   (7, 7)   |   (7, 7)   |         960         |         960          |      -      |   -    |    -    |   1    |   1   |
| 271  |    84    |   conv2d   |   (7, 7)   |   (7, 7)   |         960         |         320          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 276  |    85    |   conv2d   |   (7, 7)   |   (7, 7)   |         320         |         1280         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 278  |    86    |   relu6    |   (7, 7)   |   (7, 7)   |         1280        |         1280         |      -      |   -    |    -    |   1    |   1   |
| 283  |    87    |   linear   |   (1, 1)   |   (1, 1)   |         1280        |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
