+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 261  |    96    |       conv2d      |   (1, 1)   |   (1, 1)   |          28         |         672          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 262  |    97    |        silu       |   (1, 1)   |   (1, 1)   |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 263  |    98    |      sigmoid      |   (1, 1)   |   (1, 1)   |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 266  |    99    |       conv2d      |  (14, 14)  |  (14, 14)  |         672         |         112          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 275  |   100    |       conv2d      |  (14, 14)  |  (14, 14)  |         112         |         672          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 277  |   101    |        silu       |  (14, 14)  |  (14, 14)  |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 280  |   102    |       conv2d      |  (14, 14)  |  (14, 14)  |         672         |         672          |    (5, 5)   | (1, 1) |  (2, 2) |  672   |   1   |
| 282  |   103    |        silu       |  (14, 14)  |  (14, 14)  |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 285  |   104    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 286  |   105    |       conv2d      |   (1, 1)   |   (1, 1)   |         672         |          28          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 287  |   106    |       conv2d      |   (1, 1)   |   (1, 1)   |          28         |         672          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 288  |   107    |        silu       |   (1, 1)   |   (1, 1)   |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 289  |   108    |      sigmoid      |   (1, 1)   |   (1, 1)   |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 292  |   109    |       conv2d      |  (14, 14)  |  (14, 14)  |         672         |         112          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 303  |   110    |       conv2d      |  (14, 14)  |  (14, 14)  |         112         |         672          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 305  |   111    |        silu       |  (14, 14)  |  (14, 14)  |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 308  |   112    |       conv2d      |  (14, 14)  |   (7, 7)   |         672         |         672          |    (5, 5)   | (2, 2) |  (2, 2) |  672   |   1   |
| 310  |   113    |        silu       |   (7, 7)   |   (7, 7)   |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 313  |   114    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 314  |   115    |       conv2d      |   (1, 1)   |   (1, 1)   |         672         |          28          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 315  |   116    |       conv2d      |   (1, 1)   |   (1, 1)   |          28         |         672          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 316  |   117    |        silu       |   (1, 1)   |   (1, 1)   |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 317  |   118    |      sigmoid      |   (1, 1)   |   (1, 1)   |         672         |         672          |      -      |   -    |    -    |   1    |   1   |
| 320  |   119    |       conv2d      |   (7, 7)   |   (7, 7)   |         672         |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 329  |   120    |       conv2d      |   (7, 7)   |   (7, 7)   |         192         |         1152         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 331  |   121    |        silu       |   (7, 7)   |   (7, 7)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 334  |   122    |       conv2d      |   (7, 7)   |   (7, 7)   |         1152        |         1152         |    (5, 5)   | (1, 1) |  (2, 2) |  1152  |   1   |
| 336  |   123    |        silu       |   (7, 7)   |   (7, 7)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 339  |   124    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 340  |   125    |       conv2d      |   (1, 1)   |   (1, 1)   |         1152        |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 341  |   126    |       conv2d      |   (1, 1)   |   (1, 1)   |          48         |         1152         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 342  |   127    |        silu       |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 343  |   128    |      sigmoid      |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 346  |   129    |       conv2d      |   (7, 7)   |   (7, 7)   |         1152        |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 355  |   130    |       conv2d      |   (7, 7)   |   (7, 7)   |         192         |         1152         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 357  |   131    |        silu       |   (7, 7)   |   (7, 7)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 360  |   132    |       conv2d      |   (7, 7)   |   (7, 7)   |         1152        |         1152         |    (5, 5)   | (1, 1) |  (2, 2) |  1152  |   1   |
| 362  |   133    |        silu       |   (7, 7)   |   (7, 7)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 365  |   134    | adaptiveavgpool2d |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
| 366  |   135    |       conv2d      |   (1, 1)   |   (1, 1)   |         1152        |          48          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 367  |   136    |       conv2d      |   (1, 1)   |   (1, 1)   |          48         |         1152         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 368  |   137    |        silu       |   (1, 1)   |   (1, 1)   |         1152        |         1152         |      -      |   -    |    -    |   1    |   1   |
