+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 381  |    91    |       conv2d      |   (3, 3)   |   (3, 3)   |         2048        |         384          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 385  |    92    |       conv2d      |   (3, 3)   |   (3, 3)   |         384         |         384          |    (1, 3)   | (1, 1) |  (0, 1) |   1    |   1   |
| 389  |    93    |       conv2d      |   (3, 3)   |   (3, 3)   |         384         |         384          |    (3, 1)   | (1, 1) |  (1, 0) |   1    |   1   |
| 393  |    94    |       conv2d      |   (3, 3)   |   (3, 3)   |         2048        |         448          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 397  |    95    |       conv2d      |   (3, 3)   |   (3, 3)   |         448         |         384          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 401  |    96    |       conv2d      |   (3, 3)   |   (3, 3)   |         384         |         384          |    (1, 3)   | (1, 1) |  (0, 1) |   1    |   1   |
| 405  |    97    |       conv2d      |   (3, 3)   |   (3, 3)   |         384         |         384          |    (3, 1)   | (1, 1) |  (1, 0) |   1    |   1   |
| 409  |    98    |       conv2d      |   (3, 3)   |   (3, 3)   |         2048        |         192          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 413  |    99    | adaptiveavgpool2d |   (3, 3)   |   (1, 1)   |         192         |         192          |      -      |   -    |    -    |   1    |   1   |
| 415  |   100    |       linear      |   (1, 1)   |   (1, 1)   |         2048        |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
