+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 191  |    82    |   conv2d   |   (4, 4)   |   (4, 4)   |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 193  |    83    |    relu    |   (4, 4)   |   (4, 4)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 198  |    84    |   conv2d   |   (4, 4)   |   (4, 4)   |         1024        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 200  |    85    |    relu    |   (4, 4)   |   (4, 4)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
| 201  |    86    |   conv2d   |   (4, 4)   |   (2, 2)   |         512         |         512          |    (3, 3)   | (2, 2) |  (1, 1) |   1    |   1   |
| 204  |    87    |    relu    |   (2, 2)   |   (2, 2)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
| 206  |    88    |   conv2d   |   (2, 2)   |   (2, 2)   |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 208  |    89    |    relu    |   (2, 2)   |   (2, 2)   |         2048        |         2048         |      -      |   -    |    -    |   1    |   1   |
| 210  |    90    |   conv2d   |   (2, 2)   |   (1, 1)   |         1024        |         2048         |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
| 215  |    91    |   conv2d   |   (1, 1)   |   (1, 1)   |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 217  |    92    |    relu    |   (1, 1)   |   (1, 1)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
| 218  |    93    |   conv2d   |   (1, 1)   |   (1, 1)   |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 221  |    94    |    relu    |   (1, 1)   |   (1, 1)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
| 223  |    95    |   conv2d   |   (1, 1)   |   (1, 1)   |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 225  |    96    |    relu    |   (1, 1)   |   (1, 1)   |         2048        |         2048         |      -      |   -    |    -    |   1    |   1   |
| 228  |    97    |   conv2d   |   (1, 1)   |   (1, 1)   |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 230  |    98    |    relu    |   (1, 1)   |   (1, 1)   |         512         |         512          |      -      |   -    |    -    |   1    |   1   |
| 231  |    99    |   conv2d   |   (1, 1)   |   (1, 1)   |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
