+------+----------+-----------------+-----------+----------+---------------------+----------------------+-------------+--------+----------+--------+-------+
| line | layer_no |    layer_type   |  in_size  | out_size | in_channel/features | out_channel/features | kernel_size | stride | padding  | groups | count |
| 120  |    58    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (2, 1)  |  512   |   1   |
| 121  |    59    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 124  |    60    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 125  |    61    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 129  |    62    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 130  |    63    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 132  |    64    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (4, 1)  |  512   |   1   |
| 133  |    65    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 136  |    66    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 137  |    67    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 141  |    68    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 142  |    69    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 144  |    70    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (8, 1)  |  512   |   1   |
| 145  |    71    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 148  |    72    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 149  |    73    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 153  |    74    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 154  |    75    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 156  |    76    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) | (16, 1)  |  512   |   1   |
| 157  |    77    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 160  |    78    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 161  |    79    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 165  |    80    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 166  |    81    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 168  |    82    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) | (32, 1)  |  512   |   1   |
| 169  |    83    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 172  |    84    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 173  |    85    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 177  |    86    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 178  |    87    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 180  |    88    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) | (64, 1)  |  512   |   1   |
| 181  |    89    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 184  |    90    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 185  |    91    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 189  |    92    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 190  |    93    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 192  |    94    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) | (128, 1) |  512   |   1   |
| 193  |    95    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 196  |    96    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 197  |    97    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 201  |    98    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 202  |    99    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 204  |   100    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (1, 1)  |  512   |   1   |
| 205  |   101    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 208  |   102    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 209  |   103    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 213  |   104    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 214  |   105    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 216  |   106    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (2, 1)  |  512   |   1   |
| 217  |   107    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 220  |   108    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 221  |   109    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 225  |   110    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 226  |   111    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 228  |   112    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (4, 1)  |  512   |   1   |
| 229  |   113    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 232  |   114    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 233  |   115    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 237  |   116    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 238  |   117    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 240  |   118    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) |  (8, 1)  |  512   |   1   |
| 241  |   119    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 244  |   120    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 245  |   121    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 249  |   122    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 250  |   123    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 252  |   124    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) | (16, 1)  |  512   |   1   |
| 253  |   125    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 256  |   126    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 257  |   127    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 261  |   128    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 262  |   129    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 264  |   130    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) | (32, 1)  |  512   |   1   |
| 265  |   131    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 268  |   132    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 269  |   133    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 273  |   134    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 274  |   135    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 276  |   136    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) | (64, 1)  |  512   |   1   |
| 277  |   137    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 280  |   138    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 281  |   139    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 285  |   140    |      conv1d     |  (22, 12) | (22, 12) |         128         |         512          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 286  |   141    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 288  |   142    |      conv1d     |  (22, 12) | (22, 12) |         512         |         512          |    (3, 1)   | (1, 1) | (128, 1) |  512   |   1   |
| 289  |   143    |      prelu      |  (22, 12) | (22, 12) |         512         |         512          |      -      |   -    |    -     |   1    |   1   |
| 292  |   144    |      conv1d     |  (22, 12) | (22, 12) |         512         |         128          |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 295  |   145    |      prelu      |  (22, 12) | (22, 12) |         128         |         128          |      -      |   -    |    -     |   1    |   1   |
| 296  |   146    |      conv1d     |  (22, 12) | (22, 12) |         128         |         1024         |    (1, 1)   | (1, 1) |  (0, 1)  |   1    |   1   |
| 297  |   147    |       relu      |  (22, 12) | (22, 12) |         1024        |         1024         |      -      |   -    |    -     |   1    |   1   |
| 299  |   148    | convtranspose1d |  (22, 12) |  (3, 2)  |         512         |          1           |   (16, 1)   | (8, 1) |  (8, 1)  |   1    |   1   |
+------+----------+-----------------+-----------+----------+---------------------+----------------------+-------------+--------+----------+--------+-------+
