+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+-------+
| line | layer_no |     layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | count |
| 192  |    76    | adaptiveavgpool2d |  (38, 38)  |  (38, 38)  |          6          |          6           |      -      |   -    |    -    |   1   |
| 194  |    77    |       conv2d      |  (38, 38)  |  (38, 38)  |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 196  |    78    |        relu       |  (38, 38)  |  (38, 38)  |         512         |         512          |      -      |   -    |    -    |   1   |
| 200  |    79    | adaptiveavgpool2d |  (38, 38)  |  (38, 38)  |         512         |         512          |      -      |   -    |    -    |   1   |
| 202  |    80    |       conv2d      |  (38, 38)  |  (38, 38)  |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 204  |    81    |        relu       |  (38, 38)  |  (38, 38)  |         512         |         512          |      -      |   -    |    -    |   1   |
| 208  |    82    | adaptiveavgpool2d |  (38, 38)  |  (38, 38)  |         512         |         512          |      -      |   -    |    -    |   1   |
| 210  |    83    |       conv2d      |  (38, 38)  |  (38, 38)  |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 212  |    84    |        relu       |  (38, 38)  |  (38, 38)  |         512         |         512          |      -      |   -    |    -    |   1   |
| 216  |    85    | adaptiveavgpool2d |  (38, 38)  |  (38, 38)  |         512         |         512          |      -      |   -    |    -    |   1   |
| 218  |    86    |       conv2d      |  (38, 38)  |  (38, 38)  |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 220  |    87    |        relu       |  (38, 38)  |  (38, 38)  |         512         |         512          |      -      |   -    |    -    |   1   |
| 225  |    88    |       conv2d      |  (38, 38)  |  (38, 38)  |         4096        |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
| 227  |    89    |        relu       |  (38, 38)  |  (38, 38)  |         512         |         512          |      -      |   -    |    -    |   1   |
| 234  |    90    |       conv2d      |  (38, 38)  |  (38, 38)  |         256         |          6           |    (1, 1)   | (1, 1) |  (0, 0) |   1   |
| 238  |    91    |       conv2d      |  (38, 38)  |  (38, 38)  |         1024        |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1   |
| 240  |    92    |        relu       |  (38, 38)  |  (38, 38)  |         256         |         256          |      -      |   -    |    -    |   1   |
+------+----------+-------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+-------+
