+------+----------+------------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no |    layer_type    |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 248  |    72    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 253  |    73    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 256  |    74    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 259  |    75    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 264  |    76    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 267  |    77    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 270  |    78    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 275  |    79    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 278  |    80    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 281  |    81    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 286  |    82    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 289  |    83    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 292  |    84    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 297  |    85    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 300  |    86    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 303  |    87    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 308  |    88    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 311  |    89    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 314  |    90    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 319  |    91    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 322  |    92    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 325  |    93    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 330  |    94    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 333  |    95    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 336  |    96    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 341  |    97    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 344  |    98    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 347  |    99    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 352  |   100    |      conv2d      |  (15, 20)  |  (15, 20)  |         1024        |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 355  |   101    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         256          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 358  |   102    |      conv2d      |  (15, 20)  |  (15, 20)  |         256         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 365  |   103    |      conv2d      |  (15, 20)  |  (8, 10)   |         1024        |         2048         |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
| 368  |   104    |      conv2d      |  (8, 10)   |   (4, 5)   |         1024        |         512          |    (1, 1)   | (2, 2) |  (0, 0) |   1    |   1   |
| 371  |   105    |      conv2d      |   (4, 5)   |   (4, 5)   |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 374  |   106    |      conv2d      |   (4, 5)   |   (4, 5)   |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 379  |   107    |      conv2d      |   (4, 5)   |   (4, 5)   |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 382  |   108    |      conv2d      |   (4, 5)   |   (4, 5)   |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 385  |   109    |      conv2d      |   (4, 5)   |   (4, 5)   |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 390  |   110    |      conv2d      |   (4, 5)   |   (4, 5)   |         2048        |         512          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 393  |   111    |      conv2d      |   (4, 5)   |   (4, 5)   |         512         |         512          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 396  |   112    |      conv2d      |   (4, 5)   |   (4, 5)   |         512         |         2048         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 407  |   113    |       relu       |   (4, 5)   |   (4, 5)   |         2048        |         2048         |      -      |   -    |    -    |   1    |   1   |
| 409  |   114    |      conv2d      |   (4, 5)   |   (4, 5)   |         256         |          3           |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 410  |   115    |      conv2d      |   (4, 5)   |   (4, 5)   |         256         |          12          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 419  |   116    |     roialign     |   (4, 5)   |   (7, 7)   |          12         |          12          |      -      |   -    |    -    |   1    |   1   |
| 420  |   117    |     roialign     |   (7, 7)   |   (7, 7)   |          12         |          12          |      -      |   -    |    -    |   1    |   1   |
| 421  |   118    |     roialign     |   (7, 7)   |   (7, 7)   |          12         |          12          |      -      |   -    |    -    |   1    |   1   |
| 422  |   119    |     roialign     |   (7, 7)   |   (7, 7)   |          12         |          12          |      -      |   -    |    -    |   1    |   1   |
| 426  |   120    |     flatten      |   (7, 7)   |   (7, 7)   |          12         |         588          |      -      |   -    |    -    |   1    |   1   |
| 427  |   121    |      linear      |   (1, 1)   |   (1, 1)   |        12544        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 428  |   122    |       relu       |   (1, 1)   |   (1, 1)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 429  |   123    |      linear      |   (1, 1)   |   (1, 1)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 430  |   124    |       relu       |   (1, 1)   |   (1, 1)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 433  |   125    |      linear      |   (1, 1)   |   (1, 1)   |         1024        |          10          |      -      |   -    |    -    |   1    |   1   |
| 434  |   126    |      linear      |   (1, 1)   |   (1, 1)   |         1024        |          36          |      -      |   -    |    -    |   1    |   1   |
| 438  |   127    |     roialign     |   (1, 1)   |  (14, 14)  |          36         |          36          |      -      |   -    |    -    |   1    |   1   |
