+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 146  |    70    |    relu    |  (28, 28)  |  (28, 28)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 147  |    71    |   conv2d   |  (28, 28)  |  (28, 28)  |         448         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 149  |    72    |    relu    |  (28, 28)  |  (28, 28)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 150  |    73    |   conv2d   |  (28, 28)  |  (28, 28)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 154  |    74    |    relu    |  (28, 28)  |  (28, 28)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 155  |    75    |   conv2d   |  (28, 28)  |  (28, 28)  |         480         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 157  |    76    |    relu    |  (28, 28)  |  (28, 28)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 158  |    77    |   conv2d   |  (28, 28)  |  (28, 28)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 163  |    78    |    relu    |  (28, 28)  |  (28, 28)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 164  |    79    |   conv2d   |  (28, 28)  |  (28, 28)  |         512         |         256          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 165  |    80    | avgpool2d  |  (28, 28)  |  (14, 14)  |         256         |         256          |      2      |   2    |    0    |   1    |   1   |
| 170  |    81    |    relu    |  (14, 14)  |  (14, 14)  |         256         |         256          |      -      |   -    |    -    |   1    |   1   |
| 171  |    82    |   conv2d   |  (14, 14)  |  (14, 14)  |         256         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 173  |    83    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 174  |    84    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 178  |    85    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 179  |    86    |   conv2d   |  (14, 14)  |  (14, 14)  |         288         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 181  |    87    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 182  |    88    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 186  |    89    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 187  |    90    |   conv2d   |  (14, 14)  |  (14, 14)  |         320         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 189  |    91    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 190  |    92    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 194  |    93    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 195  |    94    |   conv2d   |  (14, 14)  |  (14, 14)  |         352         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 197  |    95    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 198  |    96    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 202  |    97    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 203  |    98    |   conv2d   |  (14, 14)  |  (14, 14)  |         384         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 205  |    99    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 206  |   100    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 210  |   101    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 211  |   102    |   conv2d   |  (14, 14)  |  (14, 14)  |         416         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 213  |   103    |    relu    |  (14, 14)  |  (14, 14)  |         128         |         128          |      -      |   -    |    -    |   1    |   1   |
| 214  |   104    |   conv2d   |  (14, 14)  |  (14, 14)  |         128         |          32          |    (3, 3)   | (1, 1) |  (1, 1) |   1    |   1   |
| 218  |   105    |    relu    |  (14, 14)  |  (14, 14)  |          32         |          32          |      -      |   -    |    -    |   1    |   1   |
| 219  |   106    |   conv2d   |  (14, 14)  |  (14, 14)  |         448         |         128          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
