+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
| line | layer_no | layer_type |  in_size   |  out_size  | in_channel/features | out_channel/features | kernel_size | stride | padding | groups | count |
| 183  |    69    |   conv2d   |   (4, 4)   |   (2, 2)   |          96         |          96          |    (3, 3)   | (2, 2) |  (1, 1) |   96   |   1   |
| 185  |    70    |   conv2d   |   (2, 2)   |   (2, 2)   |          96         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 187  |    71    |    relu    |   (2, 2)   |   (2, 2)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
| 190  |    72    |   conv2d   |   (2, 2)   |   (2, 2)   |          96         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 192  |    73    |    relu    |   (2, 2)   |   (2, 2)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
| 193  |    74    |   conv2d   |   (2, 2)   |   (1, 1)   |          96         |          96          |    (3, 3)   | (2, 2) |  (1, 1) |   96   |   1   |
| 195  |    75    |   conv2d   |   (1, 1)   |   (1, 1)   |          96         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 197  |    76    |    relu    |   (1, 1)   |   (1, 1)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
| 203  |    77    |   conv2d   |   (1, 1)   |   (1, 1)   |          96         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 205  |    78    |    relu    |   (1, 1)   |   (1, 1)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
| 206  |    79    |   conv2d   |   (1, 1)   |   (1, 1)   |          96         |          96          |    (3, 3)   | (1, 1) |  (1, 1) |   96   |   1   |
| 208  |    80    |   conv2d   |   (1, 1)   |   (1, 1)   |          96         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 210  |    81    |    relu    |   (1, 1)   |   (1, 1)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
| 216  |    82    |   conv2d   |   (1, 1)   |   (1, 1)   |          96         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 218  |    83    |    relu    |   (1, 1)   |   (1, 1)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
| 219  |    84    |   conv2d   |   (1, 1)   |   (1, 1)   |          96         |          96          |    (3, 3)   | (1, 1) |  (1, 1) |   96   |   1   |
| 221  |    85    |   conv2d   |   (1, 1)   |   (1, 1)   |          96         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 223  |    86    |    relu    |   (1, 1)   |   (1, 1)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
| 229  |    87    |   conv2d   |   (1, 1)   |   (1, 1)   |          96         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 231  |    88    |    relu    |   (1, 1)   |   (1, 1)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
| 232  |    89    |   conv2d   |   (1, 1)   |   (1, 1)   |          96         |          96          |    (3, 3)   | (1, 1) |  (1, 1) |   96   |   1   |
| 234  |    90    |   conv2d   |   (1, 1)   |   (1, 1)   |          96         |          96          |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 236  |    91    |    relu    |   (1, 1)   |   (1, 1)   |          96         |          96          |      -      |   -    |    -    |   1    |   1   |
| 241  |    92    |   conv2d   |   (1, 1)   |   (1, 1)   |         192         |         1024         |    (1, 1)   | (1, 1) |  (0, 0) |   1    |   1   |
| 243  |    93    |    relu    |   (1, 1)   |   (1, 1)   |         1024        |         1024         |      -      |   -    |    -    |   1    |   1   |
| 245  |    94    |   linear   |   (1, 1)   |   (1, 1)   |         1024        |         1000         |      -      |   -    |    -    |   1    |   1   |
+------+----------+------------+------------+------------+---------------------+----------------------+-------------+--------+---------+--------+-------+
