+--------------+------------+------------+---------------------+----------------------+-------------+------------+------------+--------------------------------+
|  Layer Type  |  In Size   |  Out Size  | In Channel/Features | Out Channel/Features | Kernel Size |   Stride   |  Padding   |         Layer Numbers          |
|              |            |            |                     |                      |             |            |            |       230, 234, 238, 242       |
|  CONV2D_66   |   (7, 7)   |   (7, 7)   |         128         |          32          |  ('3', '3') | ('1', '1') | ('1', '1') | 183, 187, 191, 195, 199, 203,  |
|              |            |            |                     |                      |             |            |            | 207, 211, 215, 219, 223, 227,  |
|              |            |            |                     |                      |             |            |            |       231, 235, 239, 243       |
|   RELU_67    |   (7, 7)   |   (7, 7)   |          32         |          32          |      -      |     -      |     -      | 184, 188, 192, 196, 200, 204,  |
|              |            |            |                     |                      |             |            |            | 208, 212, 216, 220, 224, 228,  |
|              |            |            |                     |                      |             |            |            |         232, 236, 240          |
|  CONV2D_68   |   (7, 7)   |   (7, 7)   |         544         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              185               |
|  CONV2D_69   |   (7, 7)   |   (7, 7)   |         576         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              189               |
|  CONV2D_70   |   (7, 7)   |   (7, 7)   |         608         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              193               |
|  CONV2D_71   |   (7, 7)   |   (7, 7)   |         640         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              197               |
|  CONV2D_72   |   (7, 7)   |   (7, 7)   |         672         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              201               |
|  CONV2D_73   |   (7, 7)   |   (7, 7)   |         704         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              205               |
|  CONV2D_74   |   (7, 7)   |   (7, 7)   |         736         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              209               |
|  CONV2D_75   |   (7, 7)   |   (7, 7)   |         768         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              213               |
|  CONV2D_76   |   (7, 7)   |   (7, 7)   |         800         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              217               |
|  CONV2D_77   |   (7, 7)   |   (7, 7)   |         832         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              221               |
|  CONV2D_78   |   (7, 7)   |   (7, 7)   |         864         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              225               |
|  CONV2D_79   |   (7, 7)   |   (7, 7)   |         896         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              229               |
|  CONV2D_80   |   (7, 7)   |   (7, 7)   |         928         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              233               |
|  CONV2D_81   |   (7, 7)   |   (7, 7)   |         960         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              237               |
|  CONV2D_82   |   (7, 7)   |   (7, 7)   |         992         |         128          |  ('1', '1') | ('1', '1') |   (0, 0)   |              241               |
|  LINEAR_83   |   (7, 7)   |   (7, 7)   |         1024        |         1000         |      -      |     -      |     -      |              244               |
+--------------+------------+------------+---------------------+----------------------+-------------+------------+------------+--------------------------------+
