+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   | ANC-Gen | ANC-Cstm | ANC-Opt | AEC-Gen | AEC-Cstm | AEC-Opt | CNU-Gen | CNU-Cstm | CNU-Opt | CEU-Gen | CEU-Cstm | CEU-Opt |                                              Config-Gen |                                             Config-Cstm |                                              Config-Opt |
+--------------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------+----------+---------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
| Training set |         |          |         |         |          |         |         |          |         |         |          |         |                                                         |                                                         |                                                         |
|              |         |          |         |         |          |         |         |          |         |         |          |         | ['PERMUTE', 'CONV2D', 'AVGPOOL2D', 'ADAPTIVEAVGPOOL2D', |               ['CONV2D', 'RELU', 'MAXPOOL2D', 'LINEAR', |   ['PERMUTE', 'ADAPTIVEAVGPOOL2D', 'FLATTEN', 'LINEAR', |
|              |         |          |         |         |          |         |         |          |         |         |          |         | 'TANH', 'RELU6', 'RELU', 'CONV1D', 'MAXPOOL2D', 'SILU', |                                    'ADAPTIVEAVGPOOL2D'] |         'GELU', 'AVGPOOL2D', 'CONV2D', 'RELU6', 'RELU', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |     'FLATTEN', 'ROIALIGN', 'LINEAR', 'CONVTRANSPOSE2D', |                                                         |                                            'MAXPOOL2D'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                             'GELU', 'LASTLEVELMAXPOOL'] |                                                         |                                                         |
| densenet121  | 100.000 |  100.000 | 100.000 |  99.159 |  100.000 |  99.999 |   0.312 |    1.000 |   0.500 |   0.150 |    1.000 |   0.286 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 64, 'no_modules': | {'row_PE': 32, 'col_PE': 32, 'n_SA': 128, 'no_modules': | {'row_PE': 32, 'col_PE': 32, 'n_SA': 128, 'no_modules': |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                                                     64} |                                                     64} |                                                     64} |
|              |         |          |         |         |          |         |         |          |         |         |          |         | ['PERMUTE', 'CONV2D', 'AVGPOOL2D', 'ADAPTIVEAVGPOOL2D', |  ['AVGPOOL2D', 'CONV2D', 'RELU', 'MAXPOOL2D', 'LINEAR'] |   ['PERMUTE', 'ADAPTIVEAVGPOOL2D', 'FLATTEN', 'LINEAR', |
|              |         |          |         |         |          |         |         |          |         |         |          |         | 'TANH', 'RELU6', 'RELU', 'CONV1D', 'MAXPOOL2D', 'SILU', |                                                         |         'GELU', 'AVGPOOL2D', 'CONV2D', 'RELU6', 'RELU', |
|              |         |          |         |         |          |         |         |          |         |         |          |         |     'FLATTEN', 'ROIALIGN', 'LINEAR', 'CONVTRANSPOSE2D', |                                                         |                                            'MAXPOOL2D'] |
|              |         |          |         |         |          |         |         |          |         |         |          |         |                             'GELU', 'LASTLEVELMAXPOOL'] |                                                         |                                                         |
|  peanutRCNN  | 100.000 |  100.000 | 100.000 | 100.000 |  100.000 | 100.000 |   0.438 |    1.000 |   1.000 |   0.350 |    1.000 |   1.000 |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 64, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 64, 'no_modules': |  {'row_PE': 32, 'col_PE': 32, 'n_SA': 64, 'no_modules': |
